orderid,cancelled buy,exec sell,cancelled sell,date,exec buy,,microsecond,price,side,time,inventory,time diff,ewav_for canc buy,ewav_for canc sell,ewav_for exec buy,ewav_for exec sell,ewav_for buy/sell,ewav_for sell/buy,ewav_for buy exec/total,ewav_for buy exec+canc,ewav_for sell exec/total,ewav_for sell exec+canc,ewav_back canc buy,ewav_back canc sell,ewav_back exec buy,ewav_back exec sell,ewav_back buy/sell,ewav_back sell/buy,ewav_back buy exec/total,ewav_back buy exec+canc,ewav_back sell exec/total,ewav_back sell exec+canc,sev buy,sev sell,sev net buy,sev sell/buy,sev buy/sell,IsSpoof
49178955,500,0,0,2011-04-25 00:00:00,0,,39812000000,136.9500000001,B,2011-04-25 11:03:32,0,,501.7911044023,0,0,0,inf,0,0,501.7911044023,1,0,0,0,0,0,inf,inf,1,0,1,0,0,0,0,inf,inf,False
49178959,500,0,0,2011-04-25 00:00:00,0,,39824000000,136.9000000001,B,2011-04-25 11:03:44,0,12000000,573.6750857558,0,0,0,inf,0,0,573.6750857558,1,0,500,0,0,0,inf,0,0,500,1,0,0,0,0,inf,inf,False
49178960,500,0,0,2011-04-25 00:00:00,0,,39828000000,136.8000000001,B,2011-04-25 11:03:48,0,4000000,504.0833420815,0,0,0,inf,0,0,504.0833420815,1,0,573.0782785358,0,0,0,inf,0,0,573.0782785358,1,0,0,0,0,inf,inf,False
49178963,500,0,0,2011-04-25 00:00:00,0,,39838000000,136.7000000001,B,2011-04-25 11:03:58,0,10000000,500,0,0,0,inf,0,0,500,1,0,504.6801493015,0,0,0,inf,0,0,504.6801493015,1,0,0,0,0,inf,inf,False
49179047,500,0,0,2011-04-25 00:00:00,0,,40018000000,136.8000000001,B,2011-04-25 11:06:58,0,180000000,500,0,0,0,inf,0,0,500,1,0,500,0,0,0,inf,0,0,500,1,0,0,0,0,inf,inf,False
49182672,1000,0,0,2011-04-25 00:00:00,0,,46228000000,139.3300000001,B,2011-04-25 12:50:28,0,6210000000,1154.7733082294,9.6522706811,0.3996901372,0.0138495482,119.6374766495,0.0083585849,0.0003460002,1155.1729983667,0.0014327929,9.6661202293,1000,0,0,0,inf,0,0,1000,1,0,0,0,0,inf,inf,False
49182673,1000,0,0,2011-04-25 00:00:00,0,,46232000000,139.3300000001,B,2011-04-25 12:50:32,0,4000000,1058.9556249172,66.0406270819,2.7346712677,0.0947583087,16.0349117158,0.062363923,0.0025757712,1061.6902961849,0.0014327929,66.1353853907,1146.1565570716,0,0,0,inf,0,0,1146.1565570716,1,0,0,0,0,inf,inf,False
49182674,2740,0,0,2011-04-25 00:00:00,0,,46240000000,139.3500000001,B,2011-04-25 12:50:40,0,8000000,2759.8700852102,3091.5379380338,128.0172576443,4.4358892303,0.8927175214,1.1201751686,0.0443290345,2887.8873428545,0.0014327929,3095.9738272641,2764.4838974259,0,0,0,inf,0,0,2764.4838974259,1,0,0,0,0,inf,inf,False
49182675,0,0,5000,2011-04-25 00:00:00,0,,46241000000,139.4200000001,S,2011-04-25 12:50:41,0,1000000,32.1362467621,5000,207.0446169678,7.1742435629,0.0064272494,155.5875531146,0.8656403934,239.1808637299,0.0014327929,5007.1742435629,1709.3013695951,5000,0,0,0.3418602739,2.925171704,0,1709.3013695951,0,5000,0,0,0,inf,inf,False
49182674,0,0,0,2011-04-25 00:00:00,2260,,46246143000,139.3500000001,B,2011-04-25 12:50:46.143000,2260,5143000,380.9167051435,1.7099023907388943e-16,2454.1370340132,85.0375975801,2.2277102319206152e+18,4.488914158004528e-19,0.8656403934,2835.0537391567,1,85.0375975801,144.206147597,421.8277424981,2260,0,0.3418602739,2.925171704,0.9400192252,2404.2061475971,0,421.8277424981,2860,200,2660,0.0699300699,14.3,TRUE
49182678,400,0,0,2011-04-25 00:00:00,0,,46247000000,139.4200000001,B,2011-04-25 12:50:47,2260,857000,575.1322189271,2.5817191602664356e-16,293.1204161968,128.3951623231,2.2277102319206152e+18,4.488914158004528e-19,0.3375980727,868.2526351239,1,128.3951623231,495.5093955727,279.3813813982,1496.8240785226,0,1.7735949085,0.5638266073,0.7512919388,1992.3334740953,0,279.3813813982,600,200,400,0.3333333333,3,False
49182677,0,100,0,2011-04-25 00:00:00,0,,46247700000,139.3900000001,S,2011-04-25 12:50:47.700000,2160,700000,245.201344399,3.614646196091955e-16,410.3957602008,179.7651317891,6.783550342053083e+17,1.4741543138564576e-18,0.6259877558,655.5971045998,1,179.7651317891,353.9118439932,199.5449142871,1069.0892533958,100,1.7735949085,0.5638266073,0.7512919388,1423.001097389,0.3338397523,299.5449142871,600,200,400,0.3333333333,3,False
49182676,0,100,0,2011-04-25 00:00:00,0,,46248243000,139.4000000001,S,2011-04-25 12:50:48.243000,2060,543000,318.3455344591,4.69290442919774e-16,532.8178682751,103.5592752268,6.783550342053083e+17,1.4741543138564576e-18,0.6259877558,851.1634027341,1,103.5592752268,272.5958135186,153.6967727043,823.451545066,177.0236481613,1.7735949085,0.5638266073,0.7512919388,1096.0473585846,0.5352667601,330.7204208656,600,100,500,0.1666666667,6,TRUE
49182678,0,0,0,2011-04-25 00:00:00,600,,46248490000,139.4200000001,B,2011-04-25 12:50:48.490000,2660,247000,358.4852011322,5.284625057027954e-16,600,4.0080584065,6.783550342053083e+17,1.4741543138564574e-18,0.6259877558,958.4852011322,1,4.0080584065,242.0732004328,136.4873113218,1331.2494947831,157.2022714126,1.7735949085,0.5638266073,0.8461388746,1573.3226952159,0.5352667601,293.6895827344,600,0,600,0,inf,False
49182680,2600,0,0,2011-04-25 00:00:00,0,,46253000000,139.3700000001,B,2011-04-25 12:50:53,2660,4510000,3134.2857933233,4.6204209230866e-15,8.324813593257988e-19,35.0430100952,6.783550342053083e+17,1.4741543138564574e-18,2.6560480256751115e-22,3134.2857933233,1,35.0430100952,2627.6872198862,15.6107912544,152.2621976308,17.9800731656,168.3250500929,0.0059408864,0.0547715713,2779.949417517,0.5352667601,33.59086442,0,0,0,inf,inf,False
49182681,1000,0,0,2011-04-25 00:00:00,0,,46256000000,139.4000000001,B,2011-04-25 12:50:56,2660,3000000,2260.2678017422,1.9546446440189707e-14,3.521768378550186e-18,148.2476015347,1.1563574016680966e+17,8.64784536820066e-18,1.5581199607566719e-21,2260.2678017422,1,148.2476015347,1621.1369952712,3.6901043245,35.991986875,4.250159051,439.320098487,0.0022762446,0.0217194843,1657.1289821463,0.5352667601,7.9402633755,0,0,0,inf,inf,False
49182682,1000,0,0,2011-04-25 00:00:00,0,,46257000000,139.3800000001,B,2011-04-25 12:50:57,2660,1000000,2038.2538189775,3.161281994912442e-14,5.695819441876328e-18,239.7635165832,6.4475545751937064e+16,1.5509756270189566e-17,2.794460331114997e-21,2038.2538189775,1,239.7635165832,2002.3613047262,2.2816195029,22.2541185779,2.6279055898,877.6052721221,0.0011394644,0.0109917757,2024.6154233041,0.5352667601,4.9095250927,0,0,0,inf,inf,False
49182683,1000,0,0,2011-04-25 00:00:00,0,,46257000000,139.4100000001,B,2011-04-25 12:50:57,2660,0,1038.2538189775,3.161281994912442e-14,5.695819441876328e-18,239.7635165832,3.284280936178478e+16,3.0448065175678286e-17,5.485960501918127e-21,1038.2538189775,1,239.7635165832,3002.3613047262,2.2816195029,22.2541185779,2.6279055898,1315.8904457572,0.0007599417,0.0073576688,3024.6154233041,0.5352667601,4.9095250927,0,0,0,inf,inf,False
49182684,100,0,0,2011-04-25 00:00:00,0,,46260000000,139.4200000001,B,2011-04-25 12:51:00,2660,3000000,161.8307587607,1.3373636347099964e-13,2.4095863019175445e-17,1014.306880957,1210072971632490,8.263964433904458e-16,1.4889544610496293e-19,161.8307587607,1,1014.306880957,809.7030671775,0.5393329433,5.2604648838,0.6211886139,1501.3046713136,0.0006660873,0.006454847,814.9635320613,0.5352667601,1.1605215572,0,2600,-2600,inf,0,False
49182685,100,0,0,2011-04-25 00:00:00,0,,46261000000,139.4100000001,B,2011-04-25 12:51:01,2660,1000000,100,2.1629422984868334e-13,3.897067333823599e-17,1640.4567909041,462333184153639,2.1629422984868145e-15,3.897067333823565e-19,100,1,1640.4567909041,600.6455501443,0.3334736511,3.252585352,0.3840856333,1801.1784384691,0.0005551921,0.0053859834,603.8981354963,0.5352667601,0.7175592844,0,2660,-2660,inf,0,False
49182679,0,2600,0,2011-04-25 00:00:00,0,,46261970000,139.4400000001,S,2011-04-25 12:51:01.970000,60,970000,1.3978801847073023e-12,3.448073343350614e-13,6.212543903922086e-17,2615.1485111702,4.0540906341,0.246664441,4.444063148265206e-05,1.3979423101463415e-12,1,2615.1485111702,376.7790117662,0.2091847225,2.0403146154,2600.2409331182,1801.1784384691,0.0005551921,0.0053859834,378.8193263815,0.9999195583,2600.4501178407,0,2660,-2660,inf,0,TRUE
49182686,0,60,0,2011-04-25 00:00:00,0,,46264833000,139.4700000001,S,2011-04-25 12:51:04.833000,0,2863000,5.5367032535605265e-12,1.3657078129798415e-12,2.460655242275668e-16,60,4.0540906341,0.246664441,4.444063148265206e-05,5.536949319084754e-12,1,60,95.1273511404,0.0528139517,0.5151288124,716.4963136743,1801.1784384691,0.0005551921,0.0053859834,95.6424799527,0.999926294,716.549127626,0,60,-60,inf,0,TRUE
49182704,4000,0,0,2011-04-25 00:00:00,0,,46336000000,139.5400000001,B,2011-04-25 12:52:16,0,71167000,4004.9323712061,987.8744045556,0.1779896336,56.3859876857,4.0540906341,0.246664441,4.4440631482652066e-05,4005.1103608397,0.0539960992,1044.2603922413,4000,7.301376187613699e-17,7.121506949511102e-16,9.90535445643438e-13,5.478419269487491e+19,1.8253440469034248e-20,1.7803767373777753e-19,4000,0.999926294,9.90608459405314e-13,0,0,0,inf,inf,False
49182705,0,0,2584,2011-04-25 00:00:00,0,,46338000000,139.6300000001,S,2011-04-25 12:52:18,0,2000000,12.9016899779,2584.0004274146,0.4655706102,147.4898181472,0.0049929133,200.2838722557,0.0348291714,13.367260588,0.0539960992,2731.4902455618,1529.2170915683,2584,2.722582536228741e-16,3.7868593332054763e-13,0.59180228,1.689753544,1.7803767373777756e-19,1529.2170915683,1.4655028379278156e-16,2584,0,0,0,inf,inf,False
49182705,0,1416,0,2011-04-25 00:00:00,0,,46342707000,139.6300000001,S,2011-04-25 12:52:22.707000,-1416,4707000,124.007131749,0.0041081798,4.4749235248,1417.6274071035,30185.4197095592,3.31285769627155e-05,0.0348291714,128.4820552738,0.9999971021,1417.6315152834,159.0995981122,268.8391097566,2.8325722340505405e-17,1416,0.59180228,1.689753544,1.7803767373777753e-19,159.0995981122,0.8404363312,1684.8391097566,0,1416,-1416,inf,0,False
49182707,600,0,0,2011-04-25 00:00:00,0,,46346000000,139.6100000001,B,2011-04-25 12:52:26,-1416,3293000,603.9625272173,0.0200084191,21.7946023185,7.9260998396,30185.4197095592,3.312857696271549e-05,0.0348291714,625.7571295358,0.9974819851,7.9461082586,632.666736652,55.1987340282,5.8159098021347574e-18,290.7367438269,11.4616167887,0.0872477259,9.19269097805184e-21,632.666736652,0.8404363312,345.9354778551,0,0,0,inf,inf,False
49182712,0,100,0,2011-04-25 00:00:00,0,,46352697000,139.6400000001,S,2011-04-25 12:52:32.697000,-1516,6697000,99.1460034821,0.5006286841,545.320599422,198.3181639397,198.0429940174,0.0050494086,0.8461580429,644.466602904,0.9974819851,198.8187926238,25.2855291733,2.2061049187,2.324420559062234e-19,111.6197549071,11.4616167887,0.0872477259,9.19269097805184e-21,25.2855291733,0.9806185965,113.8258598258,800,100,700,0.125,8,False
49182707,0,0,0,2011-04-25 00:00:00,800,,46353737000,139.6100000001,B,2011-04-25 12:52:33.737000,-716,1040000,163.4641248458,0.8253971601,899.0816716179,162.0992481836,198.0429940174,0.0050494086,0.8461580429,1062.5457964637,0.9949338717,162.9246453437,15.3364486906,1.3380702717,800,67.7008035808,11.4616167887,0.0872477259,0.9811900367,815.3364486906,0.9806185965,69.0388738525,800,0,800,0,inf,False
49182711,0,100,0,2011-04-25 00:00:00,0,,46358090000,139.6500000001,S,2011-04-25 12:52:38.090000,-816,4353000,1325.283937474,6.6919001303,803.3037708867,1314.2182120816,198.0429940174,0.0050494086,0.377388147,2128.5877083606,0.9949338717,1320.9101122119,1.8916392877,0.1650412261,98.6741755324,108.3504012203,11.4616167887,0.0872477259,0.9811900367,100.5658148201,0.9984790992,108.5154424464,2800,1700,1100,0.6071428571,1.6470588235,False
49182709,0,100,0,2011-04-25 00:00:00,0,,46358307000,139.6600000001,S,2011-04-25 12:52:38.307000,-916,217000,1471.0164905491,7.4277633392,891.6376789014,1347.7376150061,198.0429940174,0.0050494086,0.377388147,2362.6541694505,0.9945189248,1355.1653783453,1.7042359345,0.1486907097,88.8985954385,197.6162043584,11.4616167887,0.0872477259,0.9811900367,90.602831373,0.9992481441,197.7648950681,2800,1600,1200,0.5714285714,1.75,False
49182710,0,100,0,2011-04-25 00:00:00,0,,46358310000,139.6600000001,S,2011-04-25 12:52:38.310000,-1016,3000,1473.139679727,7.4384841889,892.9246226458,1249.5385349944,198.0429940174,0.0050494086,0.377388147,2366.0643023727,0.9940822433,1256.9770191833,1.7017796737,0.1484764065,88.7704687317,297.3313864337,11.4616167887,0.0872477259,0.9811900367,90.4722484054,0.9995008859,297.4798628402,2800,1500,1300,0.5357142857,1.8666666667,False
49182708,0,1400,0,2011-04-25 00:00:00,0,,46358720000,139.6700000001,S,2011-04-25 12:52:38.720000,-2416,410000,1794.1140673339,9.0592150267,1087.4791091463,1400.0052302971,198.0429940174,0.0050494086,0.377388147,2881.5931764802,0.9935707589,1409.0644453238,1.397324289,0.1219133666,72.8890666751,1644.1375781834,11.4616167887,0.0872477259,0.9811900367,74.2863909641,0.9999258552,1644.25949155,2800,1400,1400,0.5,2,False
49182713,500,0,0,2011-04-25 00:00:00,0,,46359000000,139.7100000001,B,2011-04-25 12:52:39,-2416,280000,2052.6399166528,10.3646176773,1244.1812193563,0.0059839654,198.0429940174,0.0050494086,0.377388147,3296.8211360092,0.0005770124,10.3706016427,501.2213341186,0.1065586244,63.708836029,1437.0617728516,4703.7143811685,0.0002125979,0.1127729397,564.9301701476,0.9999258552,1437.1683314761,2800,0,2800,0,inf,False
