orderid,IsSpoof,cancelled buy,exec sell,cancelled sell,exec buy,microsecond,price,side,time,date,inventory,time diff,ewav_back canc buy,ewav_back canc sell,ewav_back buy/sell,ewav_back sell/buy,TimeDiff_back,TimeDiff_frwd,TimeDiff_min,state
49182674,True,0,0,0,2260,46246143000,139.35,B,2011-04-25 12:50:46.143000,2011-04-25,2260,5143000.0,144.206147597,421.827742498,-1.07335318125,2.925171704,12939133000.0,2347000.0,2347000.0,2
49182677,False,0,100,0,0,46247700000,139.39,S,2011-04-25 12:50:47.700000,2011-04-25,2160,700000.0,353.911843993,199.544914287,0.573008508601,0.5638266073,12840270000.0,543000.0,543000.0,1
49182676,True,0,100,0,0,46248243000,139.4,S,2011-04-25 12:50:48.243000,2011-04-25,2060,543000.0,272.595813519,153.696772704,0.573008508601,0.5638266073,543000.0,13727000.0,543000.0,3
49182678,False,0,0,0,600,46248490000,139.42,B,2011-04-25 12:50:48.490000,2011-04-25,2660,247000.0,242.073200433,136.487311322,0.573008508601,0.5638266073,2347000.0,105247000.0,2347000.0,0
49182679,True,0,2600,0,0,46261970000,139.44,S,2011-04-25 12:51:01.970000,2011-04-25,60,970000.0,376.779011766,0.2091847225,7.49619641771,0.0005551921,13727000.0,2863000.0,2863000.0,3
49182686,True,0,60,0,0,46264833000,139.47,S,2011-04-25 12:51:04.833000,2011-04-25,0,2863000.0,95.1273511404,0.0528139517,7.49619641771,0.0005551921,2863000.0,77874000.0,2863000.0,3
49182705,False,0,1416,0,0,46342707000,139.63,S,2011-04-25 12:52:22.707000,2011-04-25,-1416,4707000.0,159.099598112,268.839109757,-0.524582686371,1.689753544,77874000.0,9990000.0,9990000.0,1
49182712,False,0,100,0,0,46352697000,139.64,S,2011-04-25 12:52:32.697000,2011-04-25,-1516,6697000.0,25.2855291733,2.2061049187,2.43900378237,0.0872477259,9990000.0,5393000.0,5393000.0,1
49182707,False,0,0,0,800,46353737000,139.61,B,2011-04-25 12:52:33.737000,2011-04-25,-716,1040000.0,15.3364486906,1.3380702717,2.43900378237,0.0872477259,105247000.0,6090000.0,6090000.0,0
49182711,False,0,100,0,0,46358090000,139.65,S,2011-04-25 12:52:38.090000,2011-04-25,-816,4353000.0,1.8916392877,0.1650412261,2.43900378237,0.0872477259,5393000.0,217000.0,217000.0,1
49182709,False,0,100,0,0,46358307000,139.66,S,2011-04-25 12:52:38.307000,2011-04-25,-916,217000.0,1.7042359345,0.1486907097,2.43900378237,0.0872477259,217000.0,3000.0,3000.0,1
49182710,False,0,100,0,0,46358310000,139.66,S,2011-04-25 12:52:38.310000,2011-04-25,-1016,3000.0,1.7017796737,0.1484764065,2.43900378237,0.0872477259,3000.0,410000.0,3000.0,1
49182708,False,0,1400,0,0,46358720000,139.67,S,2011-04-25 12:52:38.720000,2011-04-25,-2416,410000.0,1.397324289,0.1219133666,2.43900378237,0.0872477259,410000.0,23630000.0,410000.0,1
49182713,False,0,0,0,100,46359827000,139.71,B,2011-04-25 12:52:39.827000,2011-04-25,-2316,827000.0,739.947318726,0.0716002914,9.24323512785,9.67640392697e-05,6090000.0,643000.0,643000.0,0
49182715,False,0,0,0,600,46360470000,139.72,B,2011-04-25 12:52:40.470000,2011-04-25,-1716,470000.0,1739.80514225,0.0525604812,10.4073191492,3.02105562727e-05,643000.0,147000.0,147000.0,0
49182716,False,0,0,0,600,46360617000,139.72,B,2011-04-25 12:52:40.617000,2011-04-25,-1116,147000.0,1621.09207552,0.0489740934,10.4073191492,3.02105562727e-05,147000.0,216000.0,147000.0,0
49182717,False,0,0,0,600,46360833000,139.72,B,2011-04-25 12:52:40.833000,2011-04-25,-516,216000.0,1461.19396969,0.0441434826,10.4073191492,3.02105562727e-05,216000.0,37000.0,37000.0,0
49182718,False,0,0,0,600,46360870000,139.72,B,2011-04-25 12:52:40.870000,2011-04-25,84,37000.0,1435.43139458,0.0433651809,10.4073191492,3.02105562727e-05,37000.0,147000.0,37000.0,0
49182719,False,0,0,0,200,46361017000,139.72,B,2011-04-25 12:52:41.017000,2011-04-25,284,147000.0,1337.48682666,0.040406221,10.4073191492,3.02105562727e-05,147000.0,106000.0,106000.0,0
49182720,False,0,0,0,100,46361123000,139.72,B,2011-04-25 12:52:41.123000,2011-04-25,384,106000.0,1271.03408848,0.0383986469,10.4073191492,3.02105562727e-05,106000.0,8330000.0,106000.0,0
49182723,False,0,0,0,100,46369453000,139.7,B,2011-04-25 12:52:49.453000,2011-04-25,484,1453000.0,968.042041644,57.0369094385,2.8315769255,0.0589198681,8330000.0,8517000.0,8330000.0,0
49182731,False,0,0,0,100,46377970000,139.7,B,2011-04-25 12:52:57.970000,2011-04-25,584,970000.0,102.838693911,0.9502663681,4.68417462829,0.0092403582,8517000.0,6222107000.0,8517000.0,0
49182729,True,0,400,0,0,46382350000,139.74,S,2011-04-25 12:53:02.350000,2011-04-25,184,350000.0,306.084608657,0.1156968146,7.88064373956,0.0003779897,23630000.0,2747000.0,2747000.0,3
49182742,True,0,184,0,0,46385097000,139.74,S,2011-04-25 12:53:05.097000,2011-04-25,0,2747000.0,81.7109880671,0.0308859079,7.88064373956,0.0003779897,2747000.0,6233873000.0,2747000.0,3
49185010,True,0,0,0,500,52600077000,139.35,B,2011-04-25 14:36:40.077000,2011-04-25,500,6077000.0,1.5922937679,223.293002569,-4.94330922896,140.233546766,6222107000.0,496000.0,496000.0,2
49185015,True,0,0,0,300,52600573000,139.3,B,2011-04-25 14:36:40.573000,2011-04-25,800,496000.0,1.2544711126,175.918933433,-4.94330922896,140.233546766,496000.0,5114000.0,496000.0,2
49185026,True,0,0,0,800,52605687000,139.35,B,2011-04-25 14:36:45.687000,2011-04-25,1600,5114000.0,0.1073200501,15.0498712641,-4.94330922896,140.233546766,5114000.0,2706000.0,2706000.0,2
49185028,False,0,0,0,100,52608393000,139.35,B,2011-04-25 14:36:48.393000,2011-04-25,1700,1393000.0,204.771702945,4.0976264802,3.91148781559,0.0200107067,2706000.0,200000.0,200000.0,0
49185029,False,0,0,0,100,52608593000,139.35,B,2011-04-25 14:36:48.593000,2011-04-25,1800,200000.0,185.999106186,3.7219735532,3.91148781559,0.0200107067,200000.0,127000.0,127000.0,0
49185030,False,0,0,0,100,52608720000,139.35,B,2011-04-25 14:36:48.720000,2011-04-25,1900,127000.0,174.98218626,3.5015172003,3.91148781559,0.0200107067,127000.0,760000.0,127000.0,0
49185035,False,0,0,0,100,52609480000,139.42,B,2011-04-25 14:36:49.480000,2011-04-25,2000,760000.0,121.42533663,2.4298067926,3.91148781559,0.0200107067,760000.0,140000.0,140000.0,0
